retailer,estimated_tires,actual_date,registration_number,name_of_business,contact_person,location,mailing_address,city,province,postal_code,phone_number,fax_number,county,km,time,round_trip_km,round_trip_time,round_trip_cost,latitude,longitude
3000,200,2/15/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,32,4/9/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,40,5/23/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,150,7/2/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,50,7/2/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,80,7/10/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,180,7/9/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,30,1/1/1900,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,100,1/1/1900,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,100,6/12/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,60,1/1/1900,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,200,1/1/1900,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,60,1/1/1900,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,50,1/1/1900,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,50,6/19/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,50,1/1/1900,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,100,6/13/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
3000,40,6/18/2024,3000.0,One time pickups,,,,,NB,,,,var,,,,,,,
2792,300,6/18/2024,2792.0,Chaleur Regional Service Commission,Jocelyne Hackey,1300 Route 360,1300 Route 360,Allardville,NB,E8L 1H5,(506) 542-2696,,3,218.243,2.5116666666666667,436.486,5.023333333333333,1053.5,47.45141659999999,-65.6063772
